Reference,Quantity,Value,Footprint,Datasheet,,,
C11,1,2.2 uF,,~,,,
C14,1,100 uF,,~,,,
C16 C10,2,220 uF,,https://www.mouser.com/datasheet/2/293/e-wt-30307.pdf,https://www.mouser.com/ProductDetail/Nichicon/UWT0G221MCL6GS?qs=sGAEpiMZZMtZ1n0r9vR22ZeEmyXxpYomsopVMRHZzPg%3D,,
C4 C2 C3 C15 C17 C19 C18 C1,8,0.1 uF,,~,,,
C5 C6 C7 C12 C8 C9 C13,7,1 uF,,~,,,
D1,1,D,,~,https://www.mouser.com/ProductDetail/ON-Semiconductor/BAS16HT1G?qs=sGAEpiMZZMtbRapU8LlZDwOXpTTbNuB%2FwdorD8UI%2F%2FU%3D,,
LED1,1,LED,,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_LTST-S220TBKT-blue_C160471.html,https://datasheet.lcsc.com/szlcsc/Lite-On-LTST-S220TBKT_C160471.pdf,https://www.mouser.com/ProductDetail/Inolux/IN-S63ASG?qs=sGAEpiMZZMseGfSY3csMkdgyOOAg6kv2cSrTzFoh1AyQNvJlO8Scyg%3D%3D, 
D3,1,PMEG2020CPA,Package_TO_SOT_SMD:SOT-23,http://www.diodes.com/_files/datasheets/ds11005.pdf,,,
J1 J5 J6,3,Conn_01x02_Female,,~,,,
J2,1,AudioJack3_SwitchTR,,https://datasheet.lcsc.com/szlcsc/Korean-Hroparts-Elec-PJ-3930-8A_C145811.pdf,https://lcsc.com/product-detail/Audio-Video-Connectors_Korean-Hroparts-Elec-PJ-3930-8A_C145811.html,,
J3,1,USB_B_Micro,,https://datasheet.lcsc.com/szlcsc/1903211731_Korean-Hroparts-Elec-U-F-M5WD-W-1_C145779.pdf,https://lcsc.com/product-detail/Micro-USB-Connectors_Korean-Hroparts-Elec-U-F-M5WD-W-1_C145779.html, ,
J4,1,Micro_SD_Card,,http://katalog.we-online.de/em/datasheet/693072010801.pdf,,,
R1,1,22K,,~,,,
R2,1,R,,~,,,
R3,1,2.2K,,~,,,
R6 R5,2,130K,,~,,,
R4 R7,2,10K,,,,,
RV1,1,10K,,https://www.mouser.com/datasheet/2/414/P09x-1545427.pdf,,,
RV2,1,50K,,https://www.mouser.com/datasheet/2/414/P09x-1545427.pdf,,,
SW1,1,SW_SPDT,,https://datasheet.lcsc.com/szlcsc/1903201231_ALPS-Electric-SSSU111400_C380201.pdf,https://lcsc.com/product-detail/New-Arrivals_ALPS-Electric-SSSU111400_C380201.html, ,
TP6 TP7 TP8 TP9 TP10 TP1 TP2 TP3 TP4 TP5,10,TestPoint,,~,,,
U1,1,ATTINY841-SSU,14S1,,,,
U2,1,YX6200-16S,D16,,,,
U3 U4,2,MIC5504-3.3YM5,Package_TO_SOT_SMD:SOT-23-5,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,,,
U5,1,PAM8019,,,,,
