"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D3";"HUSON-3-1EP_2x2mm_P1.3mm_EP1.1x1.6mm";1;"PMEG2020CPA";;;
2;"R12,R9,R10,R11,R7,R8,R13,R14";"C_0402_1005Metric";8;"0";;;
3;"C16,C10";"CP_Elec_6.3x5.8";2;"220 uF";;;
4;"TP1,TP2,TP3,TP4,TP5,TP7,TP8,TP9,TP10,TP6";"TestPoint_THTPad_D2.0mm_Drill1.0mm";10;"TestPoint";;;
5;"C7,C5,C6,C12,C8,C9,C13";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";7;"1 uF";;;
6;"J2";"PJ-3930-8A";1;"AudioJack3_SwitchTR";;;
7;"SW1";"Alps_SSSU111400";1;"SW_SPDT";;;
8;"C11,C21";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"2.2 uF";;;
9;"C14";"CP_Elec_6.3x5.8";1;"100 uF";;;
10;"C15,C17,C19,C1,C2,C3,C4,C18";"C_0402_1005Metric";8;"0.1 uF";;;
11;"J1,J5,J6";"PinSocket_1x02_P2.54mm_Vertical";3;"Conn_01x02_Female";;;
12;"J3";"Korean-hropartsC145779";1;"USB_B_Micro";;;
13;"R1";"C_0402_1005Metric";1;"22K";;;
14;"R2";"C_0402_1005Metric";1;"10k";;;
15;"R4";"C_0402_1005Metric";1;"10K";;;
16;"RV1";"TT_PO91";1;"10K";;;
17;"RV2";"TT_P091S";1;"50K";;;
18;"U2";"SOP-16_4.55x10.3mm_P1.27mm";1;"YX6200-16S";;;
19;"U5";"MLF-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"PAM8019";;;
20;"U3,U4";"SOT-23-5";2;"MIC5504-3.3YM5";;;
21;"C20";"CP_Elec_6.3x5.8";1;"22 uF";;;
22;"J4";"microSD_TF01A";1;"Micro_SD_Card";;;
23;"LED1";"LED_0603_1608Metric";1;"PLAY";;;
24;"R3";"C_0402_1005Metric";1;"2.2K";;;
25;"R5,R6";"C_0402_1005Metric";2;"162K";;;
26;"U1";"Texas_S-PVQFN-N20_EP2.7x2.7mm";1;"ATTINY841A-MU";;;
27;"C22";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"10 uF";;;
